iter	Passed	Remaining
0	220	220573
1	286	142998
2	345	114703
3	406	101297
4	475	94596
5	553	91765
6	633	89825
7	704	87324
8	772	85092
9	861	85296
10	957	86113
11	1062	87472
12	1149	87252
13	1221	86055
14	1297	85218
15	1366	84053
16	1446	83619
17	1530	83502
18	1610	83171
19	1682	82456
20	1750	81594
21	1826	81201
22	1891	80346
23	1959	79702
24	2033	79303
25	2106	78916
26	2174	78366
27	2252	78184
28	2318	77638
29	2386	77173
30	2453	76676
31	2520	76251
32	2584	75725
33	2650	75311
34	2713	74822
35	2782	74520
36	2850	74193
37	2915	73803
38	2981	73469
39	3055	73330
40	3123	73063
41	3193	72832
42	3263	72636
43	3340	72573
44	3426	72707
45	3501	72627
46	3570	72395
47	3646	72324
48	3720	72210
49	3795	72107
50	3862	71880
51	3933	71708
52	4001	71493
53	4075	71397
54	4138	71098
55	4201	70832
56	4264	70547
57	4327	70290
58	4387	69972
59	4450	69721
60	4516	69519
61	4581	69307
62	4657	69270
63	4725	69103
64	4792	68939
65	4866	68874
66	4936	68742
67	5006	68621
68	5077	68504
69	5136	68246
70	5200	68047
71	5258	67780
72	5328	67669
73	5400	67583
74	5474	67524
75	5534	67284
76	5599	67120
77	5659	66894
78	5719	66681
79	5779	66459
80	5839	66253
81	5901	66062
82	5967	65925
83	6032	65780
84	6105	65724
85	6165	65523
86	6217	65247
87	6272	65001
88	6331	64809
89	6397	64687
90	6461	64543
91	6525	64404
92	6620	64566
93	6704	64615
94	6777	64562
95	6851	64519
96	6914	64364
97	6975	64206
98	7038	64061
99	7105	63949
100	7167	63796
101	7225	63611
102	7282	63418
103	7340	63240
104	7399	63073
105	7459	62910
106	7530	62845
107	7594	62727
108	7653	62563
109	7727	62524
110	7801	62480
111	7864	62355
112	7935	62287
113	8003	62203
114	8071	62113
115	8140	62037
116	8215	62005
117	8283	61912
118	8351	61828
119	8415	61711
120	8475	61568
121	8552	61550
122	8611	61397
123	8675	61287
124	8745	61215
125	8817	61160
126	8886	61086
127	8953	60995
128	9014	60862
129	9080	60767
130	9145	60666
131	9208	60550
132	9274	60461
133	9337	60344
134	9402	60244
135	9461	60105
136	9519	59963
137	9573	59802
138	9636	59692
139	9703	59608
140	9779	59577
141	9842	59468
142	9898	59321
143	9961	59214
144	10028	59130
145	10091	59030
146	10150	58899
147	10213	58796
148	10280	58716
149	10346	58627
150	10412	58543
151	10476	58448
152	10538	58338
153	10615	58314
154	10688	58271
155	10754	58182
156	10813	58061
157	10873	57944
158	10934	57837
159	11007	57790
160	11073	57707
161	11151	57686
162	11229	57665
163	11302	57612
164	11372	57552
165	11437	57461
166	11508	57405
167	11578	57342
168	11645	57264
169	11708	57165
170	11771	57068
171	11826	56931
172	11881	56797
173	11943	56697
174	12007	56607
175	12070	56509
176	12145	56473
177	12207	56371
178	12268	56272
179	12323	56138
180	12385	56043
181	12453	55971
182	12514	55869
183	12581	55797
184	12642	55693
185	12702	55588
186	12759	55475
187	12814	55345
188	12864	55203
189	12921	55085
190	12978	54973
191	13031	54839
192	13088	54726
193	13144	54611
194	13194	54470
195	13246	54339
196	13297	54203
197	13352	54083
198	13411	53983
199	13467	53871
200	13523	53757
201	13584	53666
202	13641	53559
203	13699	53455
204	13753	53338
205	13811	53234
206	13873	53146
207	13924	53020
208	13975	52891
209	14034	52795
210	14086	52672
211	14146	52581
212	14198	52461
213	14251	52343
214	14302	52219
215	14369	52156
216	14426	52053
217	14487	51970
218	14543	51864
219	14596	51750
220	14651	51643
221	14710	51553
222	14775	51482
223	14833	51386
224	14888	51282
225	14945	51184
226	15000	51081
227	15057	50984
228	15116	50892
229	15172	50793
230	15231	50705
231	15285	50599
232	15342	50505
233	15396	50399
234	15467	50352
235	15528	50270
236	15592	50200
237	15653	50116
238	15711	50025
239	15770	49939
240	15825	49838
241	15885	49755
242	15939	49656
243	15994	49557
244	16046	49448
245	16098	49342
246	16150	49235
247	16203	49132
248	16259	49041
249	16311	48933
250	16371	48853
251	16434	48781
252	16489	48687
253	16553	48617
254	16606	48516
255	16661	48421
256	16723	48348
257	16783	48269
258	16836	48169
259	16891	48076
260	16951	47995
261	17001	47890
262	17054	47791
263	17111	47704
264	17167	47616
265	17220	47519
266	17275	47426
267	17331	47338
268	17383	47240
269	17441	47155
270	17500	47076
271	17560	47000
272	17617	46916
273	17677	46839
274	17737	46761
275	17798	46688
276	17855	46605
277	17917	46535
278	17979	46462
279	18040	46388
280	18097	46305
281	18157	46230
282	18217	46154
283	18276	46078
284	18338	46006
285	18398	45932
286	18467	45880
287	18526	45802
288	18582	45716
289	18648	45657
290	18710	45586
291	18776	45526
292	18839	45458
293	18900	45386
294	18955	45301
295	19016	45228
296	19071	45143
297	19136	45080
298	19199	45013
299	19257	44933
300	19326	44882
301	19384	44802
302	19440	44719
303	19498	44641
304	19553	44556
305	19613	44482
306	19672	44406
307	19732	44334
308	19816	44313
309	19873	44234
310	19932	44158
311	19989	44080
312	20047	44003
313	20109	43933
314	20165	43851
315	20226	43780
316	20284	43705
317	20339	43620
318	20395	43540
319	20454	43466
320	20513	43392
321	20572	43316
322	20632	43245
323	20695	43180
324	20754	43105
325	20810	43025
326	20866	42944
327	20928	42878
328	20984	42797
329	21036	42709
330	21099	42646
331	21154	42564
332	21207	42478
333	21264	42400
334	21320	42322
335	21382	42256
336	21448	42197
337	21508	42126
338	21565	42048
339	21624	41977
340	21684	41906
341	21753	41852
342	21818	41792
343	21879	41723
344	21945	41664
345	21999	41583
346	22055	41505
347	22112	41429
348	22169	41354
349	22227	41280
350	22298	41229
351	22356	41155
352	22421	41096
353	22490	41041
354	22550	40972
355	22610	40901
356	22672	40836
357	22731	40764
358	22789	40691
359	22845	40613
360	22903	40540
361	22964	40474
362	23028	40411
363	23088	40341
364	23147	40270
365	23223	40228
366	23339	40256
367	23406	40198
368	23475	40143
369	23535	40073
370	23594	40003
371	23651	39927
372	23707	39850
